year,month,long_turnover,short_turnover,avg_turnover
2010,2,0.08,0.08,0.08
2010,3,0.06,0.06,0.06
2010,4,0.06,0.06,0.06
2010,5,0.1,0.1,0.1
2010,6,0.04,0.04,0.04
2010,7,0.02,0.02,0.02
2010,8,0.1,0.1,0.1
2010,9,0.04,0.04,0.04
2010,10,0.08,0.08,0.08
2010,11,0.1,0.1,0.1
2010,12,0.08,0.08,0.08
2011,1,0.1,0.1,0.1
2011,2,0.08,0.08,0.08
2011,3,0.06,0.06,0.06
2011,4,0.08,0.08,0.08
2011,5,0.08,0.06,0.07
2011,6,0.04,0.02,0.03
2011,7,0.06,0.06,0.06
2011,8,0.1,0.1,0.1
2011,9,0.08,0.08,0.08
2011,10,0.08,0.08,0.08
2011,11,0.1,0.1,0.1
2011,12,0.1,0.1,0.1
2012,1,0.12,0.12,0.12
2012,2,0.14,0.14,0.14
2012,3,0.06,0.06,0.06
2012,4,0.08,0.08,0.08
2012,5,0.1,0.1,0.1
2012,6,0.04,0.04,0.04
2012,7,0.06,0.06,0.06
2012,8,0.1,0.1,0.1
2012,9,0.02,0.02,0.02
2012,10,0.08,0.08,0.08
2012,11,0.1,0.1,0.1
2012,12,0.1,0.1,0.1
2013,1,0.12,0.12,0.12
2013,2,0.1,0.1,0.1
2013,3,0.12,0.12,0.12
2013,4,0.12,0.12,0.12
2013,5,0.12,0.12,0.12
2013,6,0.1,0.1,0.1
2013,7,0.08,0.08,0.08
2013,8,0.12,0.12,0.12
2013,9,0.04,0.04,0.04
2013,10,0.02,0.02,0.02
2013,11,0.12,0.12,0.12
2013,12,0.06,0.06,0.06
2014,1,0.1,0.12,0.11
2014,2,0.08,0.08,0.08
2014,3,0.04,0.04,0.04
2014,4,0.02,0.02,0.02
2014,5,0.08,0.08,0.08
2014,6,0.02,0.02,0.02
2014,7,0.02,0.02,0.02
2014,8,0.04,0.04,0.04
2014,9,0.0,0.0,0.0
2014,10,0.02,0.02,0.02
2014,11,0.1,0.1,0.1
2014,12,0.04,0.04,0.04
2015,1,0.18,0.18,0.18
2015,2,0.12,0.12,0.12
2015,3,0.08,0.08,0.08
2015,4,0.06,0.06,0.06
2015,5,0.08,0.08,0.08
2015,6,0.02,0.02,0.02
2015,7,0.04,0.04,0.04
2015,8,0.04,0.04,0.04
2015,9,0.06,0.06,0.06
2015,10,0.08,0.08,0.08
2015,11,0.08,0.08,0.08
2015,12,0.02,0.02,0.02
2016,1,0.06,0.06,0.06
2016,2,0.08,0.08,0.08
2016,3,0.12,0.12,0.12
2016,4,0.08,0.08,0.08
2016,5,0.14,0.14,0.14
2016,6,0.1,0.1,0.1
2016,7,0.08,0.08,0.08
2016,8,0.16,0.16,0.16
2016,9,0.06,0.06,0.06
2016,10,0.06,0.06,0.06
2016,11,0.08,0.08,0.08
2016,12,0.12,0.12,0.12
2017,1,0.14,0.14,0.14
2017,2,0.1,0.1,0.1
2017,3,0.08,0.08,0.08
2017,4,0.08,0.08,0.08
2017,5,0.1,0.1,0.1
2017,6,0.06,0.06,0.06
2017,7,0.06,0.06,0.06
2017,8,0.06,0.06,0.06
2017,9,0.06,0.06,0.06
2017,10,0.08,0.08,0.08
2017,11,0.08,0.08,0.08
2017,12,0.02,0.02,0.02
2018,1,0.14,0.14,0.14
2018,2,0.16,0.16,0.16
2018,3,0.1,0.1,0.1
2018,4,0.06,0.06,0.06
2018,5,0.16,0.16,0.16
2018,6,0.04,0.04,0.04
2018,7,0.08,0.08,0.08
2018,8,0.06,0.06,0.06
2018,9,0.02,0.04,0.03
2018,10,0.02,0.04,0.03
2018,11,0.1,0.1,0.1
2018,12,0.04,0.06,0.05
2019,1,0.14,0.14,0.14
2019,2,0.1,0.1,0.1
2019,3,0.04,0.04,0.04
2019,4,0.06,0.06,0.06
2019,5,0.14,0.14,0.14
2019,6,0.04,0.06,0.05
2019,7,0.08,0.1,0.09
2019,8,0.02,0.04,0.03
2019,9,0.04,0.06,0.05
2019,10,0.04,0.06,0.05
2019,11,0.08,0.1,0.09
2019,12,0.04,0.06,0.05
2020,1,0.1,0.1,0.1
2020,2,0.12,0.12,0.12
2020,3,0.06,0.04,0.05
2020,4,0.18,0.22,0.2
2020,5,0.18,0.18,0.18
2020,6,0.1,0.06,0.08
2020,7,0.08,0.06,0.07
2020,8,0.12,0.14,0.13
2020,9,0.08,0.06,0.07
2020,10,0.04,0.06,0.05
2020,11,0.08,0.08,0.08
2020,12,0.04,0.02,0.03
2021,1,0.18,0.18,0.18
2021,2,0.1,0.12,0.11
2021,3,0.1,0.1,0.1
2021,4,0.08,0.06,0.07
2021,5,0.14,0.1,0.12000000000000001
2021,6,0.1,0.1,0.1
2021,7,0.12,0.12,0.12
2021,8,0.18,0.18,0.18
2021,9,0.1,0.08,0.09
2021,10,0.04,0.06,0.05
2021,11,0.2,0.18,0.19
2021,12,0.08,0.06,0.07
2022,1,0.12,0.14,0.13
2022,2,0.12,0.14,0.13
2022,3,0.08,0.1,0.09
2022,4,0.08,0.08,0.08
2022,5,0.16,0.14,0.15000000000000002
2022,6,0.04,0.06,0.05
2022,7,0.06,0.06,0.06
2022,8,0.14,0.14,0.14
2022,9,0.04,0.06,0.05
2022,10,0.06,0.08,0.07
2022,11,0.14,0.14,0.14
2022,12,0.08,0.08,0.08
2023,1,0.08,0.1,0.09
2023,2,0.08,0.08,0.08
2023,3,0.06,0.04,0.05
2023,4,0.02,0.06,0.04
2023,5,0.1,0.12,0.11
2023,6,0.06,0.08,0.07
2023,7,0.04,0.04,0.04
2023,8,0.1,0.08,0.09
2023,9,0.04,0.02,0.03
2023,10,0.06,0.02,0.04
2023,11,0.1,0.14,0.12000000000000001
2023,12,0.06,0.04,0.05
