year,month,long_turnover,short_turnover,overall_turnover,rebalanced
2010,2,1.0,1.0,1.0,True
2010,3,0.26,0.26,0.26,True
2010,4,0.19999999999999996,0.19999999999999996,0.19999999999999996,True
2010,5,0.26,0.26,0.26,True
2010,6,0.24,0.24,0.24,True
2010,7,0.21999999999999997,0.21999999999999997,0.21999999999999997,True
2010,8,0.28,0.28,0.28,True
2010,9,0.18000000000000005,0.18000000000000005,0.18000000000000005,True
2010,10,0.24,0.24,0.24,True
2010,11,0.26,0.26,0.26,True
2010,12,0.26,0.26,0.26,True
2011,1,0.56,0.56,0.56,True
2011,2,0.21999999999999997,0.21999999999999997,0.21999999999999997,True
2011,3,0.21999999999999997,0.21999999999999997,0.21999999999999997,True
2011,4,0.16000000000000003,0.16000000000000003,0.16000000000000003,True
2011,5,0.26,0.28,0.27,True
2011,6,0.21999999999999997,0.24,0.22999999999999998,True
2011,7,0.19999999999999996,0.19999999999999996,0.19999999999999996,True
2011,8,0.26,0.26,0.26,True
2011,9,0.28,0.28,0.28,True
2011,10,0.28,0.28,0.28,True
2011,11,0.36,0.36,0.36,True
2011,12,0.21999999999999997,0.21999999999999997,0.21999999999999997,True
2012,1,0.52,0.52,0.52,True
2012,2,0.09999999999999998,0.09999999999999998,0.09999999999999998,True
2012,3,0.06000000000000005,0.06000000000000005,0.06000000000000005,True
2012,4,0.07999999999999996,0.07999999999999996,0.07999999999999996,True
2012,5,0.07999999999999996,0.07999999999999996,0.07999999999999996,True
2012,6,0.09999999999999998,0.09999999999999998,0.09999999999999998,True
2012,7,0.06000000000000005,0.06000000000000005,0.06000000000000005,True
2012,8,0.06000000000000005,0.06000000000000005,0.06000000000000005,True
2012,9,0.14,0.14,0.14,True
2012,10,0.16000000000000003,0.16000000000000003,0.16000000000000003,True
2012,11,0.09999999999999998,0.09999999999999998,0.09999999999999998,True
2012,12,0.12,0.12,0.12,True
2013,1,0.36,0.36,0.36,True
2013,2,0.4,0.4,0.4,True
2013,3,0.31999999999999995,0.31999999999999995,0.31999999999999995,True
2013,4,0.30000000000000004,0.30000000000000004,0.30000000000000004,True
2013,5,0.31999999999999995,0.31999999999999995,0.31999999999999995,True
2013,6,0.4,0.4,0.4,True
2013,7,0.31999999999999995,0.31999999999999995,0.31999999999999995,True
2013,8,0.24,0.24,0.24,True
2013,9,0.24,0.24,0.24,True
2013,10,0.30000000000000004,0.30000000000000004,0.30000000000000004,True
2013,11,0.24,0.24,0.24,True
2013,12,0.19999999999999996,0.19999999999999996,0.19999999999999996,True
2014,1,0.4,0.4,0.4,True
2014,2,0.18000000000000005,0.18000000000000005,0.18000000000000005,True
2014,3,0.14,0.14,0.14,True
2014,4,0.19999999999999996,0.19999999999999996,0.19999999999999996,True
2014,5,0.28,0.28,0.28,True
2014,6,0.12,0.12,0.12,True
2014,7,0.18000000000000005,0.18000000000000005,0.18000000000000005,True
2014,8,0.19999999999999996,0.19999999999999996,0.19999999999999996,True
2014,9,0.21999999999999997,0.21999999999999997,0.21999999999999997,True
2014,10,0.16000000000000003,0.16000000000000003,0.16000000000000003,True
2014,11,0.18000000000000005,0.18000000000000005,0.18000000000000005,True
2014,12,0.19999999999999996,0.19999999999999996,0.19999999999999996,True
2015,1,0.4,0.42000000000000004,0.41000000000000003,True
2015,2,0.36,0.36,0.36,True
2015,3,0.31999999999999995,0.31999999999999995,0.31999999999999995,True
2015,4,0.38,0.38,0.38,True
2015,5,0.36,0.36,0.36,True
2015,6,0.26,0.26,0.26,True
2015,7,0.19999999999999996,0.19999999999999996,0.19999999999999996,True
2015,8,0.31999999999999995,0.31999999999999995,0.31999999999999995,True
2015,9,0.30000000000000004,0.30000000000000004,0.30000000000000004,True
2015,10,0.21999999999999997,0.21999999999999997,0.21999999999999997,True
2015,11,0.30000000000000004,0.30000000000000004,0.30000000000000004,True
2015,12,0.28,0.28,0.28,True
2016,1,0.4,0.4,0.4,True
2016,2,0.38,0.38,0.38,True
2016,3,0.21999999999999997,0.21999999999999997,0.21999999999999997,True
2016,4,0.19999999999999996,0.19999999999999996,0.19999999999999996,True
2016,5,0.33999999999999997,0.33999999999999997,0.33999999999999997,True
2016,6,0.31999999999999995,0.31999999999999995,0.31999999999999995,True
2016,7,0.18000000000000005,0.18000000000000005,0.18000000000000005,True
2016,8,0.24,0.24,0.24,True
2016,9,0.31999999999999995,0.31999999999999995,0.31999999999999995,True
2016,10,0.38,0.38,0.38,True
2016,11,0.36,0.36,0.36,True
2016,12,0.33999999999999997,0.33999999999999997,0.33999999999999997,True
2017,1,0.33999999999999997,0.33999999999999997,0.33999999999999997,True
2017,2,0.19999999999999996,0.19999999999999996,0.19999999999999996,True
2017,3,0.16000000000000003,0.16000000000000003,0.16000000000000003,True
2017,4,0.24,0.24,0.24,True
2017,5,0.18000000000000005,0.18000000000000005,0.18000000000000005,True
2017,6,0.18000000000000005,0.18000000000000005,0.18000000000000005,True
2017,7,0.18000000000000005,0.18000000000000005,0.18000000000000005,True
2017,8,0.14,0.14,0.14,True
2017,9,0.14,0.14,0.14,True
2017,10,0.12,0.12,0.12,True
2017,11,0.16000000000000003,0.16000000000000003,0.16000000000000003,True
2017,12,0.12,0.12,0.12,True
2018,1,0.42000000000000004,0.42000000000000004,0.42000000000000004,True
2018,2,0.42000000000000004,0.42000000000000004,0.42000000000000004,True
2018,3,0.36,0.36,0.36,True
2018,4,0.5,0.5,0.5,True
2018,5,0.38,0.38,0.38,True
2018,6,0.45999999999999996,0.43999999999999995,0.44999999999999996,True
2018,7,0.4,0.38,0.39,True
2018,8,0.38,0.38,0.38,True
2018,9,0.31999999999999995,0.33999999999999997,0.32999999999999996,True
2018,10,0.4,0.42000000000000004,0.41000000000000003,True
2018,11,0.43999999999999995,0.43999999999999995,0.43999999999999995,True
2018,12,0.4,0.42000000000000004,0.41000000000000003,True
2019,1,0.38,0.36,0.37,True
2019,2,0.36,0.33999999999999997,0.35,True
2019,3,0.31999999999999995,0.30000000000000004,0.31,True
2019,4,0.30000000000000004,0.31999999999999995,0.31,True
2019,5,0.42000000000000004,0.43999999999999995,0.43,True
2019,6,0.42000000000000004,0.43999999999999995,0.43,True
2019,7,0.38,0.38,0.38,True
2019,8,0.31999999999999995,0.31999999999999995,0.31999999999999995,True
2019,9,0.26,0.28,0.27,True
2019,10,0.31999999999999995,0.31999999999999995,0.31999999999999995,True
2019,11,0.31999999999999995,0.31999999999999995,0.31999999999999995,True
2019,12,0.31999999999999995,0.31999999999999995,0.31999999999999995,True
2020,1,0.42000000000000004,0.43999999999999995,0.43,True
2020,2,0.31999999999999995,0.36,0.33999999999999997,True
2020,3,0.38,0.36,0.37,True
2020,4,0.56,0.5800000000000001,0.5700000000000001,True
2020,5,0.45999999999999996,0.45999999999999996,0.45999999999999996,True
2020,6,0.38,0.42000000000000004,0.4,True
2020,7,0.36,0.33999999999999997,0.35,True
2020,8,0.36,0.38,0.37,True
2020,9,0.33999999999999997,0.36,0.35,True
2020,10,0.31999999999999995,0.36,0.33999999999999997,True
2020,11,0.31999999999999995,0.30000000000000004,0.31,True
2020,12,0.30000000000000004,0.31999999999999995,0.31,True
2021,1,0.4,0.4,0.4,True
2021,2,0.26,0.30000000000000004,0.28,True
2021,3,0.36,0.4,0.38,True
2021,4,0.42000000000000004,0.42000000000000004,0.42000000000000004,True
2021,5,0.38,0.36,0.37,True
2021,6,0.26,0.28,0.27,True
2021,7,0.36,0.31999999999999995,0.33999999999999997,True
2021,8,0.36,0.33999999999999997,0.35,True
2021,9,0.4,0.4,0.4,True
2021,10,0.4,0.43999999999999995,0.42,True
2021,11,0.43999999999999995,0.42000000000000004,0.43,True
2021,12,0.4,0.36,0.38,True
2022,1,0.43999999999999995,0.45999999999999996,0.44999999999999996,True
2022,2,0.45999999999999996,0.45999999999999996,0.45999999999999996,True
2022,3,0.38,0.33999999999999997,0.36,True
2022,4,0.30000000000000004,0.30000000000000004,0.30000000000000004,True
2022,5,0.38,0.36,0.37,True
2022,6,0.4,0.43999999999999995,0.42,True
2022,7,0.43999999999999995,0.4,0.42,True
2022,8,0.4,0.36,0.38,True
2022,9,0.21999999999999997,0.24,0.22999999999999998,True
2022,10,0.4,0.4,0.4,True
2022,11,0.43999999999999995,0.43999999999999995,0.43999999999999995,True
2022,12,0.28,0.28,0.28,True
2023,1,0.24,0.24,0.24,True
2023,2,0.36,0.33999999999999997,0.35,True
2023,3,0.33999999999999997,0.31999999999999995,0.32999999999999996,True
2023,4,0.33999999999999997,0.31999999999999995,0.32999999999999996,True
2023,5,0.28,0.28,0.28,True
2023,6,0.21999999999999997,0.21999999999999997,0.21999999999999997,True
2023,7,0.21999999999999997,0.19999999999999996,0.20999999999999996,True
2023,8,0.33999999999999997,0.31999999999999995,0.32999999999999996,True
2023,9,0.21999999999999997,0.19999999999999996,0.20999999999999996,True
2023,10,0.38,0.38,0.38,True
2023,11,0.30000000000000004,0.31999999999999995,0.31,True
2023,12,0.26,0.24,0.25,True
